Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
53,6.8,2.9,5.7,1.8,Iris-virginica
54,6.3,3.4,5.5,2.3,Iris-virginica
55,4.7,3.0,1.1,0.2,Iris-setosa
56,6.3,2.5,5.5,1.8,Iris-virginica
57,5.0,3.3,1.6,0.3,Iris-setosa
58,6.3,3.1,5.4,1.9,Iris-virginica
59,5.6,3.9,1.4,0.3,Iris-setosa
60,5.6,3.7,1.8,0.3,Iris-setosa
61,5.0,3.6,1.5,0.3,Iris-setosa
62,5.7,2.8,4.3,1.5,Iris-versicolor
63,7.5,3.3,6.1,2.2,Iris-virginica
64,4.4,3.3,1.4,0.0,Iris-setosa
65,4.5,3.0,1.3,0.2,Iris-setosa
66,5.6,3.1,3.8,1.2,Iris-versicolor
67,5.0,3.5,1.3,0.2,Iris-setosa
68,8.0,3.3,6.8,1.8,Iris-virginica
69,5.5,2.8,4.5,1.3,Iris-versicolor
70,4.5,2.7,1.2,0.1,Iris-setosa
71,6.2,2.7,5.6,2.0,Iris-virginica
72,4.5,3.4,1.3,0.2,Iris-setosa
73,6.1,3.2,4.2,1.4,Iris-versicolor
74,5.3,3.5,1.4,0.2,Iris-setosa
75,4.8,2.9,1.1,0.2,Iris-setosa
76,6.3,3.1,5.2,1.7,Iris-virginica
77,4.9,3.5,1.8,0.3,Iris-setosa
78,6.2,3.1,4.7,1.6,Iris-versicolor
79,7.4,3.1,5.8,2.0,Iris-virginica
80,5.3,3.6,1.7,0.4,Iris-setosa
81,6.1,2.8,5.0,1.9,Iris-virginica
82,4.8,3.1,1.6,0.3,Iris-setosa
83,5.9,2.9,3.8,1.1,Iris-versicolor
84,6.4,3.2,4.6,1.5,Iris-versicolor
85,6.4,2.9,4.1,1.1,Iris-versicolor
86,4.8,3.3,1.4,0.4,Iris-setosa
87,4.9,2.8,1.4,0.2,Iris-setosa
88,4.7,3.0,1.6,0.5,Iris-setosa
89,7.3,3.6,5.9,2.2,Iris-virginica
90,5.7,3.0,4.3,1.5,Iris-versicolor
91,6.1,3.1,5.1,1.9,Iris-virginica
92,6.9,2.7,5.9,2.1,Iris-virginica
93,7.0,3.1,5.8,2.3,Iris-virginica
94,5.7,3.8,1.3,0.3,Iris-setosa
95,4.5,2.7,1.4,0.2,Iris-setosa
96,6.4,3.0,5.1,1.7,Iris-versicolor
97,5.7,2.4,4.4,1.1,Iris-versicolor
98,5.9,3.3,5.0,1.9,Iris-virginica
99,6.4,3.0,5.6,1.9,Iris-virginica
100,6.6,3.0,5.2,2.0,Iris-virginica
101,5.1,3.6,1.7,0.3,Iris-setosa
102,5.2,2.3,3.4,1.0,Iris-versicolor
103,7.0,2.7,6.3,1.8,Iris-virginica
104,6.9,3.4,5.6,2.5,Iris-virginica
105,6.4,3.4,5.0,2.2,Iris-virginica
106,4.1,2.7,1.1,0.3,Iris-setosa
107,4.6,3.0,1.4,0.3,Iris-setosa
108,5.6,2.5,4.4,2.1,Iris-virginica
109,5.8,2.8,4.1,1.4,Iris-versicolor
110,4.7,2.7,1.5,0.2,Iris-setosa
111,6.6,2.8,4.9,1.4,Iris-versicolor
112,5.8,3.1,4.8,1.8,Iris-virginica
113,6.5,3.2,5.2,1.7,Iris-versicolor
114,5.2,3.6,1.3,0.4,Iris-setosa
115,6.6,3.2,5.0,1.6,Iris-versicolor
116,5.3,2.8,4.2,1.3,Iris-versicolor
117,6.4,2.8,4.4,1.4,Iris-versicolor
118,4.8,3.4,1.5,0.2,Iris-setosa
119,5.8,4.0,1.7,0.4,Iris-setosa
120,6.0,3.1,4.3,1.4,Iris-versicolor
121,5.1,3.1,4.4,2.5,Iris-virginica
122,7.2,3.3,5.5,1.7,Iris-versicolor
123,7.5,3.1,6.0,2.0,Iris-virginica
124,5.3,2.6,4.7,1.7,Iris-virginica
125,6.7,3.0,4.4,1.2,Iris-versicolor
126,5.8,2.6,4.0,1.3,Iris-versicolor
127,6.5,3.1,4.0,1.2,Iris-versicolor
128,5.8,2.6,4.1,1.3,Iris-versicolor
129,6.4,3.0,5.6,1.9,Iris-virginica
130,5.5,4.1,1.3,0.3,Iris-setosa
131,7.9,3.3,6.4,2.0,Iris-virginica
132,5.2,3.3,1.4,0.2,Iris-setosa
133,5.2,3.7,1.5,0.3,Iris-setosa
134,5.4,3.0,4.1,1.3,Iris-versicolor
135,6.9,2.7,5.7,2.0,Iris-virginica
136,6.1,3.0,4.6,1.6,Iris-versicolor
137,5.3,3.6,1.4,0.5,Iris-setosa
138,5.5,2.3,4.0,1.1,Iris-versicolor
139,5.5,3.9,1.2,0.3,Iris-setosa
140,6.4,3.1,5.2,1.9,Iris-virginica
141,5.1,3.0,1.0,0.2,Iris-setosa
142,6.3,3.4,5.7,2.0,Iris-virginica
143,5.7,2.6,4.0,1.4,Iris-versicolor
144,5.3,3.8,1.7,0.4,Iris-setosa
145,6.0,2.7,4.3,1.2,Iris-versicolor
146,5.7,2.3,4.4,1.6,Iris-virginica
147,6.0,3.0,4.3,1.5,Iris-versicolor
148,5.2,4.1,1.7,0.3,Iris-setosa
149,5.1,4.2,1.4,0.3,Iris-setosa
150,5.4,3.0,4.7,1.7,Iris-versicolor
151,5.9,2.4,4.0,1.3,Iris-versicolor
152,6.4,3.5,5.8,2.5,Iris-virginica
153,6.2,3.0,4.3,1.3,Iris-versicolor
154,6.1,2.9,5.2,1.8,Iris-virginica
155,6.5,2.9,4.8,1.5,Iris-versicolor
156,7.2,3.1,6.2,2.0,Iris-virginica
157,5.6,2.8,4.1,1.3,Iris-versicolor
158,5.0,3.0,1.8,0.2,Iris-setosa
159,6.5,2.9,5.4,2.2,Iris-virginica
160,6.4,2.9,4.5,1.3,Iris-versicolor
161,5.0,3.5,1.2,0.3,Iris-setosa
162,6.2,3.4,4.7,1.7,Iris-versicolor
163,7.4,3.2,6.7,2.0,Iris-virginica
164,4.7,3.1,1.3,0.2,Iris-setosa
165,5.2,3.7,1.8,0.4,Iris-setosa
166,4.9,3.1,1.7,0.3,Iris-setosa
167,6.0,2.5,5.0,1.6,Iris-virginica
168,6.4,3.1,5.2,1.9,Iris-virginica
169,6.2,3.1,5.0,1.5,Iris-virginica
170,5.3,3.8,1.6,0.3,Iris-setosa
171,4.9,3.3,1.4,0.3,Iris-setosa
172,6.6,2.8,5.0,1.8,Iris-virginica
173,6.4,2.8,4.7,1.3,Iris-versicolor
174,6.1,3.2,4.3,1.4,Iris-versicolor
175,5.0,3.0,1.5,0.1,Iris-setosa
176,5.2,3.7,1.6,0.5,Iris-setosa
177,4.6,3.4,1.5,0.2,Iris-setosa
178,6.6,2.8,5.4,1.3,Iris-virginica
179,5.6,2.5,4.5,1.4,Iris-versicolor
180,5.6,2.6,4.2,1.2,Iris-versicolor
181,6.4,2.8,5.9,2.3,Iris-virginica
182,4.8,3.1,1.5,0.3,Iris-setosa
183,7.2,3.1,5.9,1.5,Iris-virginica
184,5.8,2.2,4.3,1.2,Iris-versicolor
185,5.8,3.0,4.3,1.3,Iris-versicolor
186,6.4,2.7,4.6,1.4,Iris-versicolor
187,5.3,3.5,1.6,0.3,Iris-setosa
188,6.3,2.9,5.3,2.2,Iris-virginica
189,4.7,3.3,1.1,0.3,Iris-setosa
190,5.5,3.7,1.4,0.2,Iris-setosa
191,6.6,2.8,5.6,2.2,Iris-virginica
192,5.0,3.3,1.5,0.2,Iris-setosa
193,5.8,2.4,3.8,1.2,Iris-versicolor
194,4.3,2.5,1.2,0.1,Iris-setosa
195,6.0,2.2,4.0,1.1,Iris-versicolor
196,6.1,2.8,4.7,1.5,Iris-versicolor
197,4.7,3.1,1.8,0.3,Iris-setosa
198,5.4,4.0,1.5,0.4,Iris-setosa
199,4.8,3.4,1.7,0.2,Iris-setosa
200,5.6,2.3,4.0,1.1,Iris-versicolor
201,7.6,3.3,5.3,1.7,Iris-versicolor
202,6.8,2.8,5.4,1.9,Iris-virginica
203,5.3,4.0,1.3,0.4,Iris-setosa
204,6.8,3.2,4.9,1.7,Iris-versicolor
205,5.5,2.6,3.7,1.1,Iris-versicolor
206,4.5,3.1,1.6,0.4,Iris-setosa
207,7.5,2.9,6.8,2.0,Iris-virginica
208,5.0,3.4,1.6,0.2,Iris-setosa
209,6.4,2.8,5.2,2.0,Iris-virginica
210,5.1,3.8,1.4,0.2,Iris-setosa
211,5.0,3.2,1.2,0.2,Iris-setosa
212,5.7,2.7,5.3,1.9,Iris-virginica
213,6.5,2.6,5.6,2.1,Iris-virginica
214,7.0,3.1,6.0,1.6,Iris-virginica
215,6.2,3.4,4.4,1.5,Iris-versicolor
216,6.3,3.0,5.6,1.9,Iris-virginica
217,5.4,2.7,4.3,2.1,Iris-virginica
218,7.2,3.6,6.7,2.0,Iris-virginica
219,5.3,2.6,4.2,1.8,Iris-virginica
220,5.4,3.4,1.8,0.4,Iris-setosa
221,5.6,2.7,3.8,1.2,Iris-versicolor
222,6.1,3.4,5.0,2.1,Iris-virginica
223,5.8,2.2,4.5,1.2,Iris-virginica
224,5.1,3.2,1.9,0.4,Iris-setosa
225,6.7,3.2,6.3,2.5,Iris-virginica
226,6.3,3.1,4.1,1.4,Iris-versicolor
227,6.5,2.9,5.7,2.3,Iris-virginica
228,6.4,3.3,6.1,2.4,Iris-virginica
229,6.0,2.8,4.3,1.3,Iris-versicolor
230,5.2,2.5,4.0,1.3,Iris-versicolor
231,4.5,3.3,1.4,0.2,Iris-setosa
232,4.5,3.0,1.6,0.2,Iris-setosa
233,5.6,3.0,4.0,1.3,Iris-versicolor
234,6.2,2.7,4.8,1.8,Iris-virginica
235,5.9,2.4,4.5,1.5,Iris-versicolor
236,6.3,2.5,4.3,1.2,Iris-versicolor
237,5.0,3.1,1.7,0.2,Iris-setosa
238,5.6,4.4,1.5,0.3,Iris-setosa
239,6.2,2.7,5.0,1.6,Iris-versicolor
240,6.9,3.3,5.4,2.4,Iris-virginica
241,6.8,3.4,5.7,1.9,Iris-virginica
242,5.7,2.2,3.5,0.9,Iris-versicolor
243,5.0,3.3,1.6,0.5,Iris-setosa
244,5.6,2.9,4.0,1.0,Iris-versicolor
245,5.4,3.3,1.6,0.1,Iris-setosa
246,4.6,3.3,1.2,0.2,Iris-setosa
247,6.4,2.3,4.5,1.4,Iris-versicolor
248,4.3,2.7,1.2,0.2,Iris-setosa
249,5.0,3.8,1.5,0.3,Iris-setosa
250,5.3,2.9,4.0,1.3,Iris-versicolor
251,6.8,3.1,5.9,2.0,Iris-virginica
252,4.9,3.5,1.4,0.3,Iris-setosa
253,7.3,3.6,6.3,2.2,Iris-virginica
254,6.4,2.6,5.5,1.8,Iris-virginica
255,6.8,3.0,5.0,1.3,Iris-versicolor
256,6.1,2.6,5.3,1.8,Iris-virginica
257,6.2,3.1,4.2,1.5,Iris-versicolor
258,6.3,3.4,5.3,2.1,Iris-virginica
259,5.5,2.7,3.9,1.4,Iris-versicolor
260,6.1,2.9,4.1,1.1,Iris-versicolor
261,6.3,3.6,5.6,2.2,Iris-virginica
262,6.0,2.2,4.9,2.1,Iris-virginica
263,6.8,3.3,5.5,2.4,Iris-virginica
264,5.5,4.1,1.7,0.4,Iris-setosa
265,5.0,3.7,1.5,0.3,Iris-setosa
266,5.7,2.7,4.0,1.3,Iris-versicolor
267,5.6,2.9,4.1,1.6,Iris-virginica
268,7.1,3.2,5.9,1.6,Iris-virginica
269,6.4,2.5,4.0,1.2,Iris-versicolor
270,5.7,3.9,1.7,0.3,Iris-setosa
271,5.7,2.6,4.2,1.3,Iris-versicolor
272,7.0,2.7,5.5,2.0,Iris-virginica
273,6.1,2.1,3.7,0.9,Iris-versicolor
274,7.3,3.4,6.3,2.6,Iris-virginica
275,5.5,4.0,1.3,0.3,Iris-setosa
276,6.9,3.1,5.7,2.2,Iris-virginica
277,7.6,3.2,6.3,2.2,Iris-virginica
278,4.8,2.9,1.5,0.4,Iris-setosa
279,7.5,3.0,6.3,2.6,Iris-virginica
280,5.2,2.9,3.6,1.2,Iris-versicolor
281,6.2,3.0,5.6,2.0,Iris-virginica
282,4.7,3.1,1.5,0.1,Iris-setosa
283,6.7,2.7,5.1,1.6,Iris-virginica
284,6.9,3.5,5.5,2.2,Iris-virginica
285,6.6,2.7,5.3,1.8,Iris-virginica
286,6.6,2.8,5.5,2.0,Iris-virginica
287,5.9,2.4,4.3,1.3,Iris-versicolor
288,4.9,3.5,1.3,0.2,Iris-setosa
289,5.1,3.0,1.5,0.2,Iris-setosa
290,4.8,2.5,2.9,1.0,Iris-versicolor
291,5.8,2.9,4.3,1.5,Iris-versicolor
292,5.4,2.4,3.7,1.2,Iris-versicolor
293,6.2,3.0,4.4,1.5,Iris-versicolor
294,5.3,3.6,1.3,0.1,Iris-setosa
295,5.6,2.4,3.5,1.1,Iris-versicolor
296,6.0,2.8,4.6,1.4,Iris-versicolor
297,6.4,2.6,5.4,1.6,Iris-virginica
298,5.8,3.1,4.6,1.6,Iris-versicolor
299,4.5,2.7,1.4,0.2,Iris-setosa
300,5.2,2.6,3.9,1.1,Iris-versicolor
301,6.3,3.1,5.9,2.2,Iris-virginica
302,4.9,3.4,1.6,0.4,Iris-setosa
303,7.3,2.9,5.9,2.2,Iris-virginica
304,5.8,2.6,4.0,1.3,Iris-versicolor
305,5.3,3.4,1.3,0.2,Iris-setosa
306,7.6,3.3,6.5,2.2,Iris-virginica
307,7.5,3.0,5.9,1.8,Iris-virginica
308,6.6,2.7,4.8,1.5,Iris-versicolor
309,4.8,3.4,1.3,0.3,Iris-setosa
310,5.5,2.7,4.1,1.2,Iris-versicolor
311,6.6,2.8,5.1,1.8,Iris-virginica
312,7.9,3.1,6.4,2.3,Iris-virginica
313,7.7,3.7,6.5,2.7,Iris-virginica
314,6.2,2.9,3.8,1.3,Iris-versicolor
315,5.3,3.5,1.8,0.4,Iris-setosa
316,5.7,2.5,3.8,1.2,Iris-versicolor
317,6.4,2.5,5.0,1.8,Iris-virginica
318,5.6,2.9,4.3,1.3,Iris-versicolor
319,5.6,3.2,5.2,1.9,Iris-virginica
320,7.1,2.7,5.9,1.6,Iris-virginica
321,6.5,3.0,5.3,2.0,Iris-virginica
322,5.7,2.6,3.8,1.3,Iris-versicolor
323,6.9,2.5,5.8,1.7,Iris-virginica
324,6.7,2.6,4.8,1.5,Iris-versicolor
325,6.2,2.7,4.1,1.1,Iris-versicolor
326,6.6,2.9,6.1,2.2,Iris-virginica
327,5.8,3.0,4.5,1.4,Iris-versicolor
328,6.0,3.0,5.5,2.1,Iris-virginica
329,6.3,3.1,4.4,1.6,Iris-versicolor
330,6.2,2.8,4.9,1.5,Iris-versicolor
331,5.5,3.9,1.4,0.3,Iris-setosa
332,5.6,2.2,3.7,1.0,Iris-versicolor
333,4.8,3.3,1.4,0.2,Iris-setosa
334,5.4,3.8,1.6,0.3,Iris-setosa
335,7.5,3.5,6.1,2.5,Iris-virginica
336,5.6,2.7,4.2,1.3,Iris-versicolor
337,5.1,2.3,2.9,0.9,Iris-versicolor
338,6.0,2.8,3.8,1.3,Iris-versicolor
339,7.9,3.5,7.1,2.5,Iris-virginica
340,8.6,3.8,7.0,2.3,Iris-virginica
341,6.3,3.1,4.5,1.5,Iris-versicolor
342,6.2,3.0,5.3,2.2,Iris-virginica
343,6.0,2.5,4.2,1.3,Iris-versicolor
344,5.9,3.0,4.9,1.8,Iris-virginica
345,5.9,3.0,5.0,1.8,Iris-virginica
346,5.2,3.6,1.6,0.4,Iris-setosa
347,6.8,3.1,5.5,2.0,Iris-virginica
348,6.1,3.0,5.4,2.2,Iris-virginica
349,4.9,2.6,3.8,1.3,Iris-versicolor
350,6.2,3.1,4.5,1.6,Iris-versicolor
351,5.8,3.0,5.0,1.9,Iris-virginica
352,6.6,2.6,4.4,1.4,Iris-versicolor
353,5.2,3.8,1.4,0.3,Iris-setosa
354,4.5,3.1,1.4,0.1,Iris-setosa
355,6.3,3.0,5.5,1.6,Iris-virginica
356,5.5,2.5,3.6,1.0,Iris-versicolor
357,6.2,3.1,4.3,1.5,Iris-versicolor
358,6.2,2.7,4.5,1.4,Iris-versicolor
359,6.0,2.8,3.8,1.1,Iris-versicolor
360,5.5,4.1,1.5,0.4,Iris-setosa
361,5.7,3.0,4.4,1.7,Iris-versicolor
362,6.5,3.3,4.6,1.5,Iris-versicolor
363,5.4,2.1,3.5,1.0,Iris-versicolor
364,7.2,3.2,6.0,2.0,Iris-virginica
365,5.5,2.5,4.1,1.3,Iris-versicolor
366,7.3,3.0,6.0,1.7,Iris-virginica
367,7.0,2.9,6.1,2.0,Iris-virginica
368,7.4,3.4,6.3,2.6,Iris-virginica
369,6.4,3.3,4.5,1.6,Iris-versicolor
370,5.7,4.4,1.6,0.1,Iris-setosa
371,5.3,4.0,1.5,0.2,Iris-setosa
372,5.8,2.5,5.0,1.7,Iris-virginica
373,4.9,3.2,1.6,0.3,Iris-setosa
374,4.9,3.6,1.3,0.1,Iris-setosa
375,5.0,3.2,1.3,0.0,Iris-setosa
376,6.7,3.3,5.5,2.3,Iris-virginica
377,6.4,3.2,5.1,2.2,Iris-virginica
378,5.5,2.0,3.5,1.0,Iris-versicolor
379,4.7,3.1,1.6,0.2,Iris-setosa
380,5.0,3.6,1.2,0.3,Iris-setosa
381,5.2,3.0,4.0,1.3,Iris-versicolor
382,6.8,3.2,5.7,1.9,Iris-virginica
383,5.3,3.5,1.1,0.3,Iris-setosa
384,4.4,3.2,1.3,0.2,Iris-setosa
385,5.0,3.4,1.4,0.2,Iris-setosa
386,7.4,3.1,5.5,2.0,Iris-virginica
387,6.3,3.1,4.7,1.2,Iris-versicolor
388,5.8,2.7,4.2,1.4,Iris-versicolor
389,6.8,3.1,5.2,1.5,Iris-versicolor
390,6.6,2.8,4.0,1.2,Iris-versicolor
391,6.7,3.1,4.5,1.5,Iris-versicolor
392,5.4,2.8,3.7,0.9,Iris-versicolor
393,4.8,3.1,1.8,0.4,Iris-setosa
394,4.3,2.8,1.1,0.0,Iris-setosa
395,5.8,2.6,5.3,1.9,Iris-virginica
396,7.8,3.0,6.5,2.6,Iris-virginica
397,5.8,2.6,4.0,1.0,Iris-versicolor
398,6.1,4.5,1.6,0.4,Iris-setosa
399,5.6,3.7,1.4,0.3,Iris-setosa
400,5.3,3.7,1.4,0.3,Iris-setosa
401,4.7,3.0,1.3,0.1,Iris-setosa
402,6.9,3.6,5.5,2.5,Iris-virginica
403,6.8,3.5,5.3,2.0,Iris-virginica
404,6.8,3.5,6.2,2.5,Iris-virginica
405,5.7,2.8,4.3,1.3,Iris-versicolor
406,5.5,4.1,1.9,0.3,Iris-setosa
407,5.4,2.6,3.4,1.1,Iris-versicolor
408,4.5,2.4,3.8,1.3,Iris-versicolor
409,4.5,2.8,1.3,0.3,Iris-setosa
410,5.3,3.3,1.6,0.2,Iris-setosa
411,6.8,2.8,5.0,1.3,Iris-versicolor
412,5.3,2.3,3.4,1.1,Iris-versicolor
413,4.5,2.7,1.3,0.1,Iris-setosa
414,7.3,2.9,6.1,2.4,Iris-virginica
415,6.3,3.1,4.9,2.0,Iris-virginica
416,5.4,2.7,4.8,1.9,Iris-virginica
417,4.8,3.2,1.5,0.2,Iris-setosa
418,6.1,2.6,4.2,1.2,Iris-versicolor
419,6.0,2.9,5.0,1.7,Iris-virginica
420,6.0,2.8,5.4,2.0,Iris-virginica
421,5.6,3.1,5.2,2.4,Iris-virginica
422,5.5,3.7,1.4,0.3,Iris-setosa
423,6.7,3.4,5.3,1.7,Iris-versicolor
424,6.7,2.8,5.3,2.0,Iris-virginica
425,5.9,3.1,4.1,1.1,Iris-versicolor
426,5.7,2.7,3.8,1.1,Iris-versicolor
427,7.7,3.1,6.1,2.1,Iris-virginica
428,5.1,3.7,1.6,0.3,Iris-setosa
429,7.6,3.2,6.2,2.2,Iris-virginica
430,6.2,3.3,4.6,2.2,Iris-virginica
431,5.3,3.2,1.8,0.3,Iris-setosa
432,5.5,3.0,4.0,1.4,Iris-versicolor
433,5.5,3.7,1.4,0.2,Iris-setosa
434,6.6,3.2,4.0,1.4,Iris-versicolor
435,5.8,2.6,4.4,2.1,Iris-virginica
436,5.9,2.9,4.1,1.2,Iris-versicolor
437,5.9,2.5,4.2,1.1,Iris-versicolor
438,4.5,3.0,1.3,0.1,Iris-setosa
439,5.0,3.4,1.5,0.4,Iris-setosa
440,5.8,2.7,4.5,1.4,Iris-versicolor
441,7.9,3.1,6.5,2.4,Iris-virginica
442,5.9,2.9,3.7,1.2,Iris-versicolor
443,7.2,3.3,6.1,2.6,Iris-virginica
444,5.9,4.0,1.3,0.3,Iris-setosa
445,5.0,3.4,1.4,0.4,Iris-setosa
446,5.0,2.5,4.1,1.3,Iris-versicolor
447,6.0,2.7,4.3,1.2,Iris-versicolor
448,5.3,3.0,4.2,1.3,Iris-versicolor
449,5.5,3.6,1.4,0.4,Iris-setosa
450,6.4,2.9,4.3,1.4,Iris-versicolor
451,5.2,3.7,1.7,0.2,Iris-setosa
452,6.6,3.2,5.4,2.1,Iris-virginica
453,5.2,3.4,1.6,0.5,Iris-setosa
454,6.0,2.8,4.8,2.0,Iris-virginica
455,4.8,3.8,1.2,0.3,Iris-setosa
456,5.1,3.5,1.7,0.3,Iris-setosa
457,5.6,3.8,1.6,0.2,Iris-setosa
458,6.4,3.0,5.1,2.1,Iris-virginica
459,5.3,3.6,1.6,0.4,Iris-setosa
460,5.1,3.4,1.3,0.1,Iris-setosa
461,6.8,3.1,5.6,2.5,Iris-virginica
462,6.7,2.6,5.2,2.0,Iris-virginica
463,4.8,3.2,1.8,0.3,Iris-setosa
464,6.8,3.2,6.0,1.7,Iris-virginica
465,7.5,3.8,6.0,2.3,Iris-virginica
466,6.1,3.0,3.9,1.0,Iris-versicolor
467,7.2,3.5,5.8,2.5,Iris-virginica
468,5.1,3.5,1.5,0.2,Iris-setosa
469,6.8,3.2,5.0,1.6,Iris-versicolor
470,5.3,3.5,1.1,0.0,Iris-setosa
471,5.2,3.6,1.5,0.4,Iris-setosa
472,4.9,3.1,1.2,0.3,Iris-setosa
473,6.8,2.9,6.0,2.0,Iris-virginica
474,6.1,2.7,4.1,1.2,Iris-versicolor
475,5.7,4.3,1.5,0.4,Iris-setosa
476,7.5,2.8,6.5,2.0,Iris-virginica
477,7.6,3.2,6.5,1.8,Iris-virginica
478,6.8,2.7,5.5,2.0,Iris-virginica
479,5.8,2.3,5.0,1.9,Iris-virginica
480,6.3,2.5,4.2,1.3,Iris-versicolor
481,5.6,3.9,1.3,0.2,Iris-setosa
482,4.6,3.6,1.5,0.2,Iris-setosa
483,5.3,4.3,1.4,0.2,Iris-setosa
484,6.6,2.3,4.2,1.2,Iris-versicolor
485,5.7,3.9,1.6,0.4,Iris-setosa
486,5.6,2.6,4.0,1.3,Iris-versicolor
487,7.7,2.9,6.6,2.2,Iris-virginica
488,5.1,3.5,1.3,0.3,Iris-setosa
489,6.0,4.1,2.0,0.3,Iris-setosa
490,5.0,3.8,1.7,0.3,Iris-setosa
491,4.8,3.4,1.6,0.1,Iris-setosa
492,6.6,3.0,5.7,2.4,Iris-virginica
493,6.9,3.6,5.4,2.2,Iris-virginica
494,5.8,2.9,5.4,2.2,Iris-virginica
495,4.7,3.0,1.5,0.2,Iris-setosa
496,5.7,2.8,4.4,1.2,Iris-versicolor
497,6.8,3.3,5.3,2.1,Iris-virginica
498,4.9,3.0,1.7,0.2,Iris-setosa
499,4.9,3.3,1.5,0.1,Iris-setosa
500,5.4,2.7,5.1,2.1,Iris-virginica
501,5.1,2.8,4.0,1.2,Iris-versicolor
502,5.8,2.7,4.2,1.4,Iris-versicolor
503,6.3,2.6,5.1,1.9,Iris-virginica
504,6.6,3.2,5.6,2.2,Iris-virginica
505,4.8,3.5,1.7,0.1,Iris-setosa
506,4.3,2.8,1.5,0.1,Iris-setosa
507,5.0,2.4,3.3,1.0,Iris-versicolor
508,7.1,3.1,6.3,1.6,Iris-virginica
509,4.6,3.2,1.2,0.3,Iris-setosa
510,6.1,4.5,1.7,0.2,Iris-setosa
511,5.3,2.7,4.3,1.6,Iris-versicolor
512,4.0,2.9,1.3,0.1,Iris-setosa
513,6.2,3.0,4.8,1.9,Iris-virginica
514,6.4,2.9,5.5,1.8,Iris-virginica
515,5.6,2.4,3.8,1.1,Iris-versicolor
516,6.1,2.4,3.5,1.1,Iris-versicolor
517,6.2,3.2,5.5,2.2,Iris-virginica
518,6.0,3.3,4.3,1.4,Iris-versicolor
519,5.7,2.2,4.2,1.2,Iris-versicolor
520,5.6,3.0,4.9,2.4,Iris-virginica
521,5.2,2.5,4.6,1.4,Iris-virginica
522,6.6,2.8,5.1,1.7,Iris-virginica
523,4.9,3.1,1.4,0.2,Iris-setosa
524,6.9,3.3,5.7,2.3,Iris-virginica
525,6.2,2.8,4.1,1.2,Iris-versicolor
526,6.3,3.1,4.0,1.3,Iris-versicolor
527,5.0,3.4,1.7,0.4,Iris-setosa
528,5.8,2.8,4.5,1.8,Iris-virginica
